countystate,fips,US regions,PacificCoast,MountainsPlains,South,Midwest,Northeast,Population,PercentFemale,PercentWhite,PercentAfricanAmerican,PercentNativeAmerican,PercentAsian,PercentHawaianPI,PercentTwoorMore,PercentHispanic,Percent White Not Hispanic,Percent foreign born,PercentLangDiffEnglish,Bachlorsorhigher,HighSchoolGrad,HomeOwnership,PersonsPerHouse,IncomeperCapita,PercentBelowPoverty,PopPerSqMile,Clinton,Trump
Autauga County AL,1001,3,0,0,1,0,0,41435.46,51.4,77.9,18.7,0.5,1.1,0.1,1.8,2.7,75.6,1.6,3.5,20.9,64.7,76.8,2.71,24571,12.1,91.8,0.23956855,0.734357893
Baldwin County AL,1003,3,0,0,1,0,0,155686.358,51.2,87.1,9.6,0.7,0.9,0.1,1.6,4.6,83,3.6,5.5,27.7,61.4,72.6,2.52,26766,13.9,114.6,0.195653098,0.77351472
Barbour County AL,1005,3,0,0,1,0,0,21186.956,46.6,50.2,47.6,0.6,0.5,0.2,0.9,4.5,46.6,2.9,5,13.4,60.3,67.7,2.66,16829,26.7,31,0.466602502,0.522714148
Bibb County AL,1007,3,0,0,1,0,0,17779.74,45.9,76.3,22.1,0.4,0.2,0.1,0.9,2.1,74.5,1.2,2.1,12.1,65.4,79,3.03,17427,18.1,36.8,0.214220393,0.769661637
Blount County AL,1009,3,0,0,1,0,0,44097.316,50.5,96,1.8,0.6,0.3,0.1,1.2,8.7,87.8,4.3,7.3,12.1,64.9,81,2.7,20730,15.8,88.9,0.084699023,0.898518752
Bullock County AL,1011,3,0,0,1,0,0,8460.504,45.3,26.9,70.1,0.8,0.3,0.7,1.1,7.5,22.1,5.4,5.2,12.5,55.3,74.3,2.73,18628,21.6,17.5,0.750904063,0.242288875
Butler County AL,1013,3,0,0,1,0,0,15506.144,53.6,53.9,44,0.4,0.9,0,0.8,1.2,53.1,0.8,1.7,14,62.3,70.3,2.47,17403,28.4,27,0.427864134,0.563154865
Calhoun County AL,1015,3,0,0,1,0,0,90182.648,51.8,75.8,21.1,0.5,0.9,0.1,1.7,3.5,72.9,2.4,4.5,16.1,62.5,68.7,2.54,20828,21.9,195.7,0.278558764,0.692396994
Chambers County AL,1017,3,0,0,1,0,0,26783.736,52.3,58.3,39.5,0.3,0.8,0.1,1.1,2,56.8,1.1,1.3,11.8,63.3,67.9,2.46,19291,24.1,57.4,0.418275512,0.56633764
Cherokee County AL,1019,3,0,0,1,0,0,20725.452,50.2,93,4.6,0.5,0.3,0,1.6,1.5,91.6,0.7,1.1,12.8,65.5,76.1,2.2,22030,21.2,46.9,0.1451014,0.838712749
Chilton County AL,1021,3,0,0,1,0,0,33299.698,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3,5.2,7.4,12.9,63.1,74.5,2.67,20701,19.5,63,0.159353602,0.825417694
Choctaw County AL,1023,3,0,0,1,0,0,10578.462,52.5,56.6,42.4,0.2,0.3,0,0.5,0.8,56.1,0.3,1.3,11.8,63.4,83.7,2.45,20323,21.5,15.2,0.427765548,0.564391855
Clarke County AL,1025,3,0,0,1,0,0,19307.43,52.8,54,44.2,0.4,0.5,0,0.8,1.3,53.1,0.3,1.3,11.2,67.1,72.9,2.63,18979,29.3,20.9,0.441558442,0.549551639
Clay County AL,1027,3,0,0,1,0,0,10624.768,50.6,82.8,14.5,0.6,0.3,0,1.8,3.4,79.7,2.2,3.3,9.2,67.3,75,2.38,18694,19,23.1,0.187766281,0.795800365
Cleburne County AL,1029,3,0,0,1,0,0,11566.36,50.4,94.5,3.6,0.4,0.2,0.1,1.2,2.5,92.3,1.5,2.3,9,67,77.6,2.64,19108,18.4,26.7,0.104715248,0.878444581
Coffee County AL,1031,3,0,0,1,0,0,38843.567,50.5,76.4,17.7,1.4,1.6,0.4,2.5,6.4,71.3,5.1,7.5,22.5,59.9,69.9,2.65,23380,18.6,73.6,0.204455711,0.771462
Colbert County AL,1033,3,0,0,1,0,0,42707.169,51.8,80.8,16.3,0.6,0.5,0.1,1.7,2.6,78.8,2,2.6,17.7,65.8,72.1,2.42,21572,17.9,91.8,0.296272233,0.678875985
Conecuh County AL,1035,3,0,0,1,0,0,9958.62,51.9,52.1,46.2,0.4,0.1,0,1.2,1.8,51.1,0.6,2.2,8.8,68.5,79.1,2.61,15605,32.7,15.6,0.469050894,0.521626165
Coosa County AL,1037,3,0,0,1,0,0,8893.862,49.5,66.1,31.8,0.6,0.2,0.2,1.2,2.3,64.8,1.8,3.3,9.8,65.2,83,2.42,18493,20.9,17.7,0.340800306,0.646371817
Covington County AL,1039,3,0,0,1,0,0,29535.006,51.6,84.3,13,0.6,0.5,0,1.6,1.6,83.1,1.4,2.1,14.2,64.2,75.1,2.48,20391,20,36.6,0.15039828,0.835883171
Crenshaw County AL,1041,3,0,0,1,0,0,10804.221,51.1,72,24,0.5,1.8,0.1,1.6,1.7,70.6,2.3,3.2,12.7,64,69.9,2.46,21343,19.1,22.8,0.265994882,0.721529111
Cullman County AL,1043,3,0,0,1,0,0,62998.975,50.5,96.2,1.4,0.6,0.5,0,1.2,4.4,92.1,3,4.6,14.8,65,75,2.53,20760,18.8,109.4,0.100059016,0.878105049
Dale County AL,1045,3,0,0,1,0,0,37805.776,50.5,75.2,19.7,0.8,1.3,0.1,2.8,6.1,70.2,3.7,6.3,17,67.1,61.1,2.52,22685,17.4,89.6,0.236772842,0.741150561
Dallas County AL,1047,3,0,0,1,0,0,31199.828,53.7,29,69.5,0.2,0.5,0,0.7,1,28.5,0.8,1.3,14.2,63.3,60.9,2.63,17245,35.5,44.8,0.684783769,0.308809397
DeKalb County AL,1049,3,0,0,1,0,0,53511.945,50.7,92.4,2.1,2.1,0.4,0.7,2.2,14.2,80.6,7.5,11.2,10.7,59.9,76.3,2.82,18149,19.9,91.5,0.141148509,0.834892279
Elmore County AL,1051,3,0,0,1,0,0,62352.29,51.5,76,21.2,0.4,0.7,0.1,1.6,2.7,73.7,2.1,3.6,21,65.6,75.5,2.62,23856,13.4,128.2,0.228586912,0.748380978
Escambia County AL,1053,3,0,0,1,0,0,29431.74,48.8,62.2,32.4,3.4,0.3,0.1,1.7,2.1,60.6,0.6,1.4,11.7,64.5,72.5,2.59,16540,25.4,40.5,0.308814829,0.675869322
Etowah County AL,1055,3,0,0,1,0,0,80650.649,51.6,81.2,15.5,0.5,0.8,0.3,1.6,3.7,78.4,2.2,3.1,14.8,67,72.4,2.55,20204,19,195.2,0.238073331,0.739108433
Fayette County AL,1057,3,0,0,1,0,0,13212.342,50.5,86.2,11.9,0.4,0.3,0,1.1,1.4,85,0.6,0.8,13.2,61.7,74.9,2.41,18494,19.9,27.5,0.165690581,0.818081991
Franklin County AL,1059,3,0,0,1,0,0,23921.957,50.3,91.9,4.6,1.5,0.4,0.2,1.5,16.1,78,8.4,13.2,11,61.5,69.5,2.52,18888,21.9,50,0.18377248,0.791802593
Geneva County AL,1061,3,0,0,1,0,0,20781.936,50.8,87.1,9.7,1,0.4,0.1,1.7,3.6,84.1,1.8,3,10.4,66.8,72.1,2.43,20199,21.2,46.6,0.130542928,0.854876061
Greene County AL,1063,3,0,0,1,0,0,6560.151,52.5,18.5,80.5,0.2,0.2,0,0.6,1,17.9,0.2,1.4,12.8,63.4,73.2,2.72,14930,32.9,14,0.823940765,0.172357055
Hale County AL,1065,3,0,0,1,0,0,11646.128,52.8,40.8,58.1,0.2,0.3,0,0.6,1.3,40,1.2,2.7,12.8,64.6,78,2.56,18812,26.6,24.5,0.595755306,0.396004994
Henry County AL,1067,3,0,0,1,0,0,13545.72,51.8,70.4,27.3,0.3,0.7,0,1.2,2.6,68.4,2.9,5,16.6,63.5,77.7,2.44,21924,14.4,30.8,0.285144069,0.701384558
Houston County AL,1069,3,0,0,1,0,0,79499.259,52.1,70,26.7,0.5,0.9,0.1,1.8,3.3,67.3,2.4,4.4,19.7,64.2,64.6,2.58,23316,18,175.1,0.250939805,0.727266238
Jackson County AL,1071,3,0,0,1,0,0,41236.695,50.7,91.5,3.6,1.6,0.5,0.1,2.6,2.9,89.4,2.2,3.4,13,61.6,75.2,2.53,20486,16,49.4,0.17623286,0.800721674
Jefferson County AL,1073,3,0,0,1,0,0,508149.817,52.8,54,42.9,0.3,1.6,0.1,1.1,3.8,50.8,4.1,5.9,30,57.4,64.7,2.48,26906,18,592.5,0.522493115,0.450220778
Lamar County AL,1075,3,0,0,1,0,0,11029.338,51.2,87.1,11.3,0.2,0.1,0,1.4,1.4,85.8,0.6,1,9.5,66.6,71.5,2.32,19026,22.3,24.1,0.149329101,0.839561391
Lauderdale County AL,1077,3,0,0,1,0,0,74011.32,52.1,86.7,10.4,0.5,0.9,0.1,1.5,2.4,84.7,2.1,3,21.1,62.7,69.9,2.36,23510,17.2,138.8,0.254476593,0.714580166
Lawrence County AL,1079,3,0,0,1,0,0,26212.491,51.3,78.1,11.4,5.8,0.2,0,4.4,2.2,76.4,1,1.9,11.9,65.2,80.1,2.52,20181,17.5,49.7,0.246939752,0.73391233
Lee County AL,1081,3,0,0,1,0,0,120935.92,50.7,70.9,23.7,0.4,3.3,0.1,1.5,3.9,67.7,5.1,6.9,32.5,54.2,61.7,2.49,23506,22,230.8,0.363928002,0.595148089
Limestone County AL,1083,3,0,0,1,0,0,69542.842,49.7,82,13.5,0.8,1.4,0.2,2.1,5.8,77.2,4.3,6.4,22.7,58.8,76.6,2.56,25020,14.7,147.8,0.237055838,0.731573604
Lowndes County AL,1085,3,0,0,1,0,0,8136.02,52.3,25.8,72.9,0.3,0.2,0,0.8,1.2,25.3,0.2,0.7,14.4,59.5,74.9,2.61,18368,26.7,15.8,0.731276213,0.262282804
Macon County AL,1087,3,0,0,1,0,0,15870.225,54.2,16.7,81.5,0.2,0.3,0,1.4,1.5,16.2,1.1,4.2,19.6,60.4,65.7,2.29,16826,27.3,35.2,0.827274806,0.159350709
Madison County AL,1089,3,0,0,1,0,0,271832.024,51.2,69.4,24.6,0.8,2.6,0.1,2.5,4.7,65.5,5.4,7.1,38.5,51.5,69.3,2.5,31933,12.8,417.7,0.39150828,0.559336063
Marengo County AL,1091,3,0,0,1,0,0,15484.7,53.2,47.4,51,0.3,0.3,0.2,0.8,2.4,45.6,0.7,1.2,17.4,66.3,71.3,2.42,22072,24,21.5,0.512148338,0.477164779
Marion County AL,1093,3,0,0,1,0,0,23853.548,50.4,93.9,4.2,0.3,0.3,0.1,1.2,2.5,91.7,1,2.5,9.5,65.1,75.9,2.34,19576,20.9,41.5,0.110904585,0.873063817
Marshall County AL,1095,3,0,0,1,0,0,71450.18,50.9,93.7,2.7,1.1,0.7,0.3,1.6,12.9,82.3,8,11.5,15.2,61,71.9,2.7,20382,19.5,164.4,0.140511941,0.835607036
Mobile County AL,1097,3,0,0,1,0,0,315493.48,52.2,60.1,35.3,1,2,0.1,1.5,2.8,57.8,3.2,5,20.7,63.2,66.6,2.6,22501,19.8,335.9,0.41881545,0.557492334
Monroe County AL,1099,3,0,0,1,0,0,16811.402,52.6,55.5,41.1,1.3,0.4,0,1.6,1.2,54.7,0.9,1.3,10.6,65.5,74,2.71,15749,28.6,22.5,0.42317133,0.566617575
Montgomery County AL,1101,3,0,0,1,0,0,171903.64,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3,4.3,5.7,31.5,54.1,61.4,2.49,24975,21.2,292.5,0.620363321,0.358753119
Morgan County AL,1103,3,0,0,1,0,0,91977.783,50.8,83.5,12.5,1.1,0.7,0.1,2,7.9,76.6,5.1,8,19.9,61.5,71.5,2.55,23764,15.7,206.3,0.224360385,0.747974635
Perry County AL,1105,3,0,0,1,0,0,7624.976,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3,0.5,0.8,10.4,59.8,67,2.84,13716,25.6,14.7,0.727497621,0.266983825
Pickens County AL,1107,3,0,0,1,0,0,16190.175,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7,0.3,2.6,11,68.7,72,2.42,17153,27.2,22.4,0.418369497,0.574468085
Pike County AL,1109,3,0,0,1,0,0,26911.534,51.9,58.5,36.9,0.7,2.2,0.1,1.6,2.2,57.1,4,5.8,23,58,57.8,2.4,19715,27.6,48.9,0.386871401,0.589712092
Randolph County AL,1111,3,0,0,1,0,0,17580.42,51.4,77.6,20.2,0.5,0.3,0.1,1.4,2.9,75,1.7,3.4,11.1,61.5,72.3,2.48,19830,24.5,39.5,0.226061204,0.75982231
Russell County AL,1113,3,0,0,1,0,0,44527.176,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5,49.5,2.2,5,16,64.4,61.3,2.6,19678,22,82.6,0.500470318,0.481291806
St. Clair County AL,1115,3,0,0,1,0,0,66756.69,50.1,87.9,9.5,0.4,0.8,0.1,1.3,2.3,85.9,1.8,2.5,15.5,66.5,81.5,2.63,23872,15.2,132.3,0.500470318,0.481291806
Shelby County AL,1117,3,0,0,1,0,0,156231.18,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5,6,8.3,40.3,50.9,79,2.64,33313,7.9,248.5,0.231100314,0.734275462
Sumter County AL,1119,3,0,0,1,0,0,10572.298,55,25.5,73.5,0.1,0.4,0,0.5,1.1,24.8,0.9,1.9,14.9,60.6,64.7,2.57,14156,38,15.2,0.741511501,0.247379127
Talladega County AL,1121,3,0,0,1,0,0,63187.194,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4,1.6,2.8,13,65.9,71.2,2.5,19410,22.9,111.7,0.364501174,0.620025287
Tallapoosa County AL,1123,3,0,0,1,0,0,32479.185,51.4,70.6,27.3,0.4,0.5,0,1.2,2.3,68.9,1.9,2.9,16.3,62.9,72.2,2.49,21434,19.8,58.1,0.284857328,0.700767402
Tuscaloosa County AL,1125,3,0,0,1,0,0,159545.268,51.7,66,31,0.3,1.5,0.1,1.1,3.3,63.2,3.5,5.8,27,59.6,64.4,2.76,22637,18.9,147.3,0.388529887,0.583798404
Walker County AL,1127,3,0,0,1,0,0,51001.909,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4,1.2,1.4,10.5,65.9,75,2.55,20698,20.9,84.7,0.153404233,0.827822043
Washington County AL,1129,3,0,0,1,0,0,13046.35,51.2,66,24.6,7.9,0.1,0.1,1.3,1.4,65.1,0.9,1.9,9.5,71,86.5,2.59,20395,18.4,16.3,0.278615167,0.710197833
Wilcox County AL,1131,3,0,0,1,0,0,8345.696,52.4,28.1,71,0.2,0.1,0,0.6,1,27.6,0.1,0.9,11.1,65,74.5,2.9,13379,39.2,13.1,0.710254307,0.284987695
Winston County AL,1133,3,0,0,1,0,0,19102.65,50.9,96.3,1,0.9,0.3,0.2,1.4,2.9,94,1.1,1.8,10.4,62.3,74.9,2.52,18995,24,39.9,0.084934178,0.89956119
Aleutians East Borough AK,2013,3,0,0,1,0,0,3020.64,30.9,22.8,12,20.5,40.7,0.6,3.4,13.2,11.5,56.6,63.7,12,66.5,54.7,2.46,26535,16.7,0.4,0.084934178,0.89956119
Aleutians West Census Area AK,2016,3,0,0,1,0,0,5042.75,32.4,37.8,7.6,13,34.5,2.3,4.7,14.1,26.9,34.9,47.4,13.3,69.4,36.4,3.52,31790,9.2,1.3,0.084934178,0.89956119
Anchorage Municipality AK,2020,3,0,0,1,0,0,226058.51,48.6,66.1,6.3,8.2,9.2,2.4,7.8,8.9,59.7,9.4,17.3,32.8,59.7,60.6,2.73,36214,7.9,171.2,0.084934178,0.89956119
Bethel Census Area AK,2050,3,0,0,1,0,0,11417.652,48.3,12.1,0.8,81.7,1.1,0.2,4.1,1.8,11.5,1.2,66.7,11.7,67.8,64.2,3.9,18497,22.8,0.4,0.084934178,0.89956119
Bristol Bay Borough AK,2060,3,0,0,1,0,0,764.643,44.3,46.1,0,35.2,1,0.3,17.3,4.3,44.1,0.6,5.2,19.4,72.3,57.3,2.42,37024,7.9,2,0.084934178,0.89956119
Denali Borough AK,2068,3,0,0,1,0,0,1559.852,45.6,86,1.8,3.7,3.6,0.1,4.8,3.7,82.7,7.4,10.3,28.1,60.7,68.9,2.26,35295,11.4,0.1,0.084934178,0.89956119
Dillingham Census Area AK,2070,3,0,0,1,0,0,3396.828,48.6,18.7,0.7,70.4,0.9,0.2,9.1,3.1,17.6,1.5,39.9,17.8,65.9,57.8,3.59,21498,18.1,0.3,0.084934178,0.89956119
Fairbanks North Star Borough AK,2090,3,0,0,1,0,0,75411.963,45.9,77.3,5.4,7.3,3.1,0.5,6.3,7.7,71.3,5.7,10.3,29,64.1,59.2,2.67,32143,8.4,13.3,0.084934178,0.89956119
Haines Borough AK,2100,3,0,0,1,0,0,2075.894,51,79.1,0.7,10.4,1.1,0,8.8,2.5,77.5,5,7.9,30.1,66.3,64.2,2.01,31096,7.8,1.1,0.084934178,0.89956119
Hoonah-Angoon Census Area AK,2105,3,0,0,1,0,0,1678.092,46.5,48.8,0.6,39.5,0.7,0.1,10.3,5.1,47.2,3,13.7,26.9,61.5,63.4,2.23,28806,14.9,0.3,0.084934178,0.89956119
Juneau City and Borough AK,2110,3,0,0,1,0,0,25244.274,48.8,69.9,1.6,11.9,6.2,1.1,9.3,6.5,65.5,6.5,9.9,36.7,58.8,64.5,2.58,37558,6.2,11.6,0.084934178,0.89956119
Kenai Peninsula Borough AK,2122,3,0,0,1,0,0,44199.813,47.6,84.5,0.8,7.3,1.4,0.3,5.7,4,81.4,2.6,8.2,23.7,69.1,72.7,2.5,31256,8.6,3.4,0.084934178,0.89956119
Ketchikan Gateway Borough AK,2130,3,0,0,1,0,0,10643.564,47.9,68.4,0.9,13.8,7.5,0.2,9.1,4.9,65.2,7.3,9.8,25.4,68.1,58.5,2.5,31589,10.2,2.8,0.084934178,0.89956119
Kodiak Island Borough AK,2150,3,0,0,1,0,0,10349.64,46.2,57.2,1.5,13,20.7,0.9,6.7,8.7,50.8,14.2,22.7,20,69.6,56.9,2.97,28562,11.7,2.1,0.084934178,0.89956119
Lake and Peninsula Borough AK,2164,3,0,0,1,0,0,1172.689,47.1,25.1,1,63.4,0.3,0.3,9.9,3.2,23.6,1.7,15.8,15.4,71.4,64.4,2.83,21616,21.1,0.1,0.084934178,0.89956119
Matanuska-Susitna Borough AK,2170,3,0,0,1,0,0,71160.214,47.5,83.8,1.3,6.4,1.4,0.4,6.7,4.7,80.3,3.4,7,21.3,71.1,76.7,2.89,29534,9.9,3.6,0.084934178,0.89956119
Nome Census Area AK,2180,3,0,0,1,0,0,6390.867,47.6,17.3,0.7,74.5,1.2,0.1,6.3,2,16.5,1.4,28.7,17.1,67,55.1,3.37,20271,27.7,0.4,0.084934178,0.89956119
North Slope Borough AK,2185,3,0,0,1,0,0,7199.626,37.5,33.9,1.5,52.1,5.8,1.6,5.1,3.9,32.1,5.3,36,14.5,71.5,48.3,3.48,46457,10.3,0.1,0.084934178,0.89956119
Northwest Arctic Borough AK,2188,3,0,0,1,0,0,4931.163,45.8,13.1,1,78.8,0.9,0.2,6,2.1,12.1,1.2,33.9,11,67.7,56,4,21461,22,0.2,0.084934178,0.89956119
Petersburg Borough AK,2195,3,0,0,1,0,0,2455.32,48.2,77.9,1.6,9.8,3.1,0.3,7.3,5.6,73.6,4.6,9.7,25.7,70,69.2,2.2,34183,13.5,1.2,0.084934178,0.89956119
Prince of Wales-Hyder Census Area AK,2198,3,0,0,1,0,0,4854.564,45.3,47.2,0.4,42.4,0.7,0.4,9,3.3,45.5,1.4,4.8,15.7,75.3,70.7,2.49,24581,15.1,1.4,0.084934178,0.89956119
Sitka City and Borough AK,2220,3,0,0,1,0,0,6924.2,48.7,67,1.1,15.9,6.6,0.3,9.1,6,63.6,7.7,13.3,34.1,57.1,56.2,2.42,32521,10,3.1,0.084934178,0.89956119
Skagway Municipality AK,2230,3,0,0,1,0,0,900.284,47.6,89.9,0.3,5,0.7,0.2,4,4.3,86.2,8.9,12.2,24.3,70.9,59.2,2.23,37139,5.5,2.1,0.084934178,0.89956119
Southeast Fairbanks Census Area AK,2240,3,0,0,1,0,0,5156.664,44.4,80,1.5,11.6,1.3,0.5,5.2,4.9,76.2,9.1,23.4,23.1,70,66.5,2.84,29437,13.3,0.3,0.084934178,0.89956119
Valdez-Cordova Census Area AK,2261,3,0,0,1,0,0,7163.44,47.3,74,0.9,13.5,4,0.7,6.9,4.7,70.7,4.6,8.9,23.9,67.1,74.5,2.73,32579,8.3,0.3,0.084934178,0.89956119
Wade Hampton Census Area AK,2270,3,0,0,1,0,0,4645.8,47.5,5.2,0.2,91.7,0.3,0,2.6,1.1,4.9,0.6,50,5.4,71.2,71.1,4.39,11210,31.4,0.4,0.084934178,0.89956119
Wrangell City and Borough AK,2275,3,0,0,1,0,0,1884.108,48.2,70.6,0.4,16.9,1.9,0,10.3,2.2,69.2,2.8,6,16.7,72.3,71.4,2.01,28474,9.5,0.9,0.084934178,0.89956119
Yakutat City and Borough AK,2282,3,0,0,1,0,0,513.08,44.6,39.8,2.5,36.1,4.6,1.7,15.3,3.3,37.2,5.9,19.6,22.7,70.5,49.6,2.15,34317,5.9,0.1,0.084934178,0.89956119
Yukon-Koyukuk Census Area AK,2290,3,0,0,1,0,0,4004.934,46.3,23.2,0.6,70.7,0.3,0.1,5,2,22,1.1,17.3,9.3,71,70.4,2.72,19729,24.2,0,0.084934178,0.89956119
Apache County AZ,4001,2,0,1,0,0,0,50782.396,50.6,23.4,0.9,73.5,0.4,0.1,1.8,6.4,19,1.7,57,10.4,64.1,76.5,3.7,12709,36.2,6.4,0.084934178,0.89956119
Cochise County AZ,4003,2,0,1,0,0,0,98899.648,49.2,87.9,4.7,1.7,2.2,0.4,3.1,34.6,56.1,11.6,27.4,22.5,63.3,68.8,2.47,23608,17.1,21.3,0.084934178,0.89956119
Coconino County AZ,4005,2,0,1,0,0,0,107667.324,50.6,66.4,1.6,27.3,1.8,0.2,2.8,13.9,54.9,5.3,23.5,31.1,56.5,59.5,2.74,23382,23,7.2,0.084934178,0.89956119
Gila County AZ,4007,2,0,1,0,0,0,42282.724,50.4,80.2,0.9,16.5,0.8,0.1,1.6,18.8,63.2,3.4,14.4,16.1,68.2,75.8,2.54,20792,21.6,11.3,0.084934178,0.89956119
Graham County AZ,4009,2,0,1,0,0,0,27215.169,46.5,81.1,2.1,14,0.7,0.2,1.8,32.1,51.4,5,20.1,12.3,72.1,74.3,3.01,17168,22.3,8.1,0.084934178,0.89956119
Greenlee County AZ,4011,2,0,1,0,0,0,6719.774,47.7,91.5,1.8,3.3,0.8,0.2,2.3,46.6,47.8,4.7,24.3,11.1,73.2,46.1,2.54,20516,16,4.6,0.084934178,0.89956119
La Paz County AZ,4012,2,0,1,0,0,0,16710.806,48.9,77.1,1.2,17.8,0.9,0.1,2.9,25.7,59.3,13.5,18.8,9.3,66,74,1.97,22200,19.4,4.6,0.084934178,0.89956119
Maricopa County AZ,4013,2,0,1,0,0,0,3061306.059,50.6,84.4,5.7,2.8,4.1,0.3,2.8,30.3,57,14.9,26.3,29.8,56.6,62.5,2.72,27256,16.7,414.9,0.084934178,0.89956119
Mohave County AZ,4015,2,0,1,0,0,0,165332.493,49.7,92,1.3,2.9,1.2,0.2,2.3,15.8,78,6.9,10.9,11.9,71.9,69.4,2.43,20833,19.4,15,0.084934178,0.89956119
Navajo County AZ,4017,2,0,1,0,0,0,77832.72,49.8,51,1.3,44.9,0.7,0.1,2,11.1,42.2,2.6,36.8,14.9,65.7,72,3.05,16626,30.3,10.8,0.084934178,0.89956119
Pima County AZ,4019,2,0,1,0,0,0,784526.996,50.8,85.5,4.1,4.3,3.1,0.2,2.8,36.1,53.3,12.8,28.5,29.8,57.4,62.7,2.5,25269,19.2,106.7,0.084934178,0.89956119
Pinal County AZ,4021,2,0,1,0,0,0,303850.008,47.8,83.2,4.9,6.8,1.9,0.4,2.8,29.2,57.9,10.1,21.9,18,66.7,74.4,2.87,20910,15.6,70,0.084934178,0.89956119
Santa Cruz County AZ,4023,2,0,1,0,0,0,33480.315,52,96.2,0.9,1.3,0.7,0.1,0.8,82.8,15.6,33.5,76.9,19.8,52.7,66.3,3.11,17664,26.3,38.3,0.084934178,0.89956119
Yavapai County AZ,4025,2,0,1,0,0,0,180765.144,51.1,93.6,0.9,2.1,1,0.1,2.2,14.2,80.9,6.8,10.4,24.2,66,70,2.28,25186,15.8,26,0.084934178,0.89956119
Yuma County AZ,4027,2,0,1,0,0,0,149996.286,48.8,91.3,2.7,2.2,1.5,0.3,2,61.7,32.9,25.3,51.2,14.3,57.6,69.6,2.73,18840,20.2,35.5,0.084934178,0.89956119
Arkansas County AR,5001,3,0,0,1,0,0,14317.38,51.6,72.6,24.5,0.4,1,0,1.5,3,70.2,2.2,2.8,12.4,71.7,67.5,2.36,23045,15.8,19.2,0.314415437,0.620236744
Ashley County AR,5003,3,0,0,1,0,0,16004.272,51.8,71.9,25.6,0.8,0.3,0.1,1.4,5.2,67.7,2.1,4.7,12.2,72,75.6,2.47,19761,18.9,23.6,0.299987542,0.665005606
Baxter County AR,5005,3,0,0,1,0,0,33584.454,51.8,96.8,0.4,0.7,0.6,0,1.5,2,95.2,1.9,2.5,16.5,71.1,76.5,2.24,21334,15.5,74.9,0.212701819,0.748773758
Benton County AR,5007,3,0,0,1,0,0,176894.33,50.5,90,1.9,1.9,3.4,0.4,2.3,16.2,74.9,10.9,15.5,28.7,57.1,68.6,2.74,26715,12.2,261.2,0.295919883,0.644490887
Boone County AR,5009,3,0,0,1,0,0,28789.704,50.8,96.3,0.4,0.8,0.6,0.1,1.8,2.3,94.3,1.3,2.5,15.4,70,72.6,2.43,22160,16.6,62.5,0.183823529,0.768288084
Bradley County AR,5011,3,0,0,1,0,0,8539.368,51.1,68.3,27.6,1.9,0.5,0,1.6,14.3,56.3,6.7,10.2,10.8,65.2,68.8,2.32,19386,31.3,17.7,0.364113907,0.5980094
Calhoun County AR,5013,3,0,0,1,0,0,4260.438,49.2,75.7,22,0.5,0.2,0,1.6,3.9,72.3,0,0.3,7.4,73.1,80,2.55,17763,14.9,8.5,0.282666667,0.690666667
Carroll County AR,5015,3,0,0,1,0,0,21612.576,50.7,94.5,0.8,1.3,0.9,0.6,2,14.6,81.1,6.8,13.6,17.3,67.3,73.2,2.47,20637,18.8,43.6,0.312875375,0.635604354
Chicot County AR,5017,3,0,0,1,0,0,8586.24,50.8,43.5,54.6,0.5,0.5,0,0.9,5.6,39.2,3.3,5,12.6,61.6,66.3,2.41,16538,33,18.3,0.566401543,0.413593637
Clark County AR,5019,3,0,0,1,0,0,18241.408,52.1,73.4,24,0.6,0.7,0,1.4,4.4,69.6,2.6,5.2,21.4,64.8,63.5,2.41,17960,24.3,26.6,0.431081889,0.525762104
Clay County AR,5021,3,0,0,1,0,0,12033.928,51.1,97.4,0.6,0.4,0.2,0,1.3,1.8,95.7,0.9,1.9,9.5,66.6,72.6,2.3,18509,20.2,25.2,0.334392774,0.632151221
Cleburne County AR,5023,3,0,0,1,0,0,20558.468,50.7,97,0.5,0.7,0.3,0,1.4,2.6,94.8,2,2.9,16.8,67.7,76.9,2.47,23044,15.8,46.9,0.175551471,0.78993984
Cleveland County AR,5025,3,0,0,1,0,0,6471.934,51.1,86.6,11.4,0.5,0.1,0,1.3,2.2,84.7,0.4,0.9,13.8,71,77.5,2.56,20622,17.7,14.5,0.21915732,0.745680509
Columbia County AR,5027,3,0,0,1,0,0,18763.472,52,61.1,36.2,0.5,0.9,0,1.3,2.7,59.4,2.9,4.7,20.3,65.1,68.9,2.43,19439,25.4,32.1,0.355324205,0.617404096
Conway County AR,5029,3,0,0,1,0,0,16212.827,50.9,85,11.4,0.8,0.6,0,2.1,4,81.5,1.9,4.5,14.7,69.8,74,2.57,20040,24,38.5,0.338777593,0.618093658
